Name,Starting Altitude,Delta Altitude
Mt. Marcy,2178,3166
Algonquin Peak,2178,2936
Mt. Haystack,1390,3570
Mt. Skylight,661,4265
Whiteface Mtn.,2332,2535
Dix Mtn.,2057,2800
Gray Peak,662,4178
Iroquois Peak,1590,3250
Basin Mtn.,1177,3650
Gothics,666,4070
Mt. Colden,1864,2850
Giant Mtn.,1577,3050
Nippletop,570,4050
Santanoni Peak,1747,2860
Mt. Redfield,1381,3225
Wright Peak,2180,2400
Saddleback Mtn.,1525,2990
Panther Peak,680,3762
Tabletop Mtn.,767,3660
Rocky Peak Ridge,-80,4500
Macomb Mtn.,2061,2344
Armstrong Mtn.,666,3734
Hough Peak,1200,3200
Seward Mtn.,871,3490
Mt. Marshall,1785,2575
Allen Mtn.,1800,2540
Big Slide Mtn.,1440,2800
Esther Mtn.,1220,3020
Upper Wolfjaw,566,3619
Lower Wolfjaw,1350,2825
Street Mtn.,2051,2115
Phelps Mtn.,767,3394
Mt. Donaldson,650,3490
Seymour Mtn.,1750,2370
Sawteeth,1125,2975
Cascade Mtn.,2158,1940
South Dix,1010,3050
Porter Mtn.,1359,2700
Mt. Colvin,1927,2130
Mt. Emmons,550,3490
Dial Mtn.,570,3450
Grace Peak,1010,3002
Blake,690,3270
Cliff Mtn.,1800,2160
Nye Mtn.,2051,1844
Couchsachraga Peak,689,3140
